objects,count
grocery store,236
cook,235
desert,234
thread,233
soap,233
tent,232
male,232
drill,232
fence,231
clothing,230
patio,227
apple,225
prey,223
statue,222
snake,222
pump,222
nurse,221
businessman,221
batter,221
player,220
driver,220
lab,219
President of the United States,219
patient,217
surfboard,214
paintbrush,214
wire,213
puppy,213
paw,213
shelf,212
keyboard,212
shoe,211
nose,211
cyclist,211
skin,210
adult,210
surfer,209
stairs,207
dentition,207
hallway,204
stove,203
market,202
key,201
driveway,201
pile,199
cement,199
warehouse,197
parachute,197
drum,197
concert,197
sponge,196
scale,196
homo,196
wheel,192
rag,192
blowtorch,190
limb,189
marker,188
fireman,188
skydiver,186
document,186
clipper,186
race,185
handcart,185
cliff,185
broom,185
lotion,184
log,184
train,183
runner,183
scissors,181
plow,181
tabletop,179
sewing machine,179
dish,178
counter,178
wave,177
owner,177
boxer,177
jar,176
hook,176
deer,176
court,176
cake,176
frying pan,175
stream,174
mime,174
bathtub,174
feline,173
basketball player,173
wing,172
dwelling,172
block,172
space,170
lass,170
brow,170
bee,170
ribbon,169
middle-aged man,169
dancer,169
coin,168
vent,167
tank,167
tire,166
engine,166
priest,165
boxing ring,165
grain,164
egg,163
voice,162
welder,161
power shovel,161
rifle,160
white water,159
stomach,159
plain,159
massager,157
duck,157
goat,156
bullet,156
plastic,155
deck,155
harvester,154
eagle,154
concrete,154
flag,153
conference room,153
casino,153
side,152
rubbish,152
nozzle,152
drumstick,151
sauce,150
coffee,150
wheat,148
tube,148
sharpener,148
slope,147
chip,147
bus,147
gasoline station,146
track,145
class,145
tool,144
lock,144
ice rink,144
highway,144
demonstrator,143
tiger,142
shears,141
wagon,140
string,140
dustcloth,140
bulldozer,140
wedding,139
grinding wheel,139
can,139
breast,139
toothbrush,138
thorax,138
cattle,138
abdomen,138
wrench,137
wine,137
tile,137
soccer ball,137
newspaper,137
customer,135
rocket,134
hay,134
drug,134
corn,134
walk,133
seed,133
cash,133
surface,132
parent,132
music,132
sword,131
swing,131
swimmer,131
potato,131
medicine,131
lawn mower,131
bear,131
strap,130
rice,130
recording studio,130
military personnel,130
dinghy,130
ice,129
doorway,129
beer,129
opposition,128
kitten,128
tongue,127
porch,127
construction worker,127
cord,126
home plate,125
ceiling,125
basket,125
truck bed,124
nut,124
lady,123
fishing rod,123
scrub brush,122
pesticide,122
orange,122
actor,122
trailer truck,121
monkey,121
marching band,121
dais,121
auditorium,121
spatula,120
smoke,120
insect,120
drawing,120
nail polish,119
rod,118
ring,118
match,118
bug,118
barbell,118
racer,117
hall,117
colleague,117
health spa,116
chin,115
station,114
soup,114
seat belt,114
push button,114
launching pad,114
coach,114
waist,113
serviceman,113
outer space,113
hunter,113
bridge,113
tomato,112
skier,112
brook,112
blanket,112
tail,111
plaza,111
motorcycle,111
makeup,111
lumber,111
hole,111
comb,111
trunk,110
self,110
scientist,110
injury,110
gas pump,110
curate,110
cream,110
tub,109
tray,109
palm,109
ear,109
claw,109
bench,109
basketball,109
ashcan,109
pilot,108
handle,108
glove,108
decoration,108
volcano,107
toothpaste,107
theater,107
net,107
harness,107
drink,107
cheetah,107
adversary,107
wife,106
unknown,106
shaving cream,106
contest,106
barroom,106
thumb,105
object,105
human body,105
fox,105
candle,105
brick,105
teammate,104
microphone,104
cigarette,104
bone,104
baggage,104
television camera,103
scoop,103
razor,103
pavement,103
menagerie,103
clothesline,103
steering wheel,102
musician,102
lava,102
band,102
shower,101
hospital room,101
railway station,100
manicurist,100
light,100
hand tool,100
grinder,100
cargo,100
Black man,100
motorboat,99
jockey,99
guitar,99
whale,98
staple gun,98
garbage,98
football stadium,98
employee,98
wolf,97
wallpaper,97
song,97
husband,97
cookie,97
bull,97
art,97
whip,96
storage,96
stage set,96
spout,96
produce,96
bin,96
seat,95
screen,95
range,95
passerby,95
mortar,95
miner,95
beam,95
trowel,94
sun,94
fork,94
ballot box,94
pruning shears,93
parade,93
oil,93
ice hockey rink,93
forklift,93
chain,93
balloon,93
stairway,92
sheet,92
rabbit,92
cotton,92
center,92
wheelchair,91
ski slope,91
referee,91
elephant,91
bottom,91
sport utility,90
sailboat,90
leopard,90
golf course,90
gasoline,90
game,90
concert hall,90
chisel,90
car seat,90
buttocks,90
helicopter,89
hawk,89
town,88
tea,88
stethoscope,88
reporter,88
pistol,88
photographer,88
length,88
kayak,88
ice cream,88
cultivator,88
butter,88
atomizer,88
screen actor,87
party,87
pad,87
notebook,87
frosting,87
baby buggy,87
advice,87
wrist,86
fur,86
ceremony,86
binoculars,86
suspect,85
front yard,85
debris,85
cafe,85
wayside,84
stapler,84
rooftop,84
railing,84
oven,84
meter,84
lighter,83
backhoe,83
stalk,82
squirrel,82
rectangle,82
post,82
device,82
branchlet,82
power saw,81
mine,81
line,81
file,81
combatant,81
canoe,81
salad,80
preacher,80
base,80
swab,79
sign,79
pizza,79
hitch,79
hat,79
cheese,79
caulk,79
business people,79
bookshelf,79
bandage,79
washcloth,78
savanna,77
massage parlor,77
lever,77
leash,77
jug,77
jeep,77
igniter,77
hog,77
hockey player,77
crate,77
congregation,77
cemetery,77
berry,77
ramp,76
masher,76
fireplace,76
dress,76
conference,76
cockpit,76
button,76
van,75
sculpture,75
nothing,75
ice skate,75
card,75
water faucet,74
structure,74
gardener,74
diver,74
cardboard,74
bat,74
ballroom,74
young person,73
wine bottle,73
rider,73
rain,73
knee,73
grocery,73
fire hose,73
baseball bat,73
veterinarian,72
suit,72
sack,72
rack,72
president,72
politician,72
pit,72
pincer,72
part,72
military officer,72
maul,72
furniture,72
dumbbell,72
dance floor,72
crowbar,72
credit card,72
cable,72
biceps,72
barrow,72
automobile mechanic,72
package,71
mouse,71
monitor,71
marriage,71
fountain,71
cloud,71
cage,71
Black woman,71
step,70
raft,70
playground,70
meeting,70
hamburger,70
funeral,70
catcher,70
calf,70
bookshop,70
spindle,69
pestle,69
pastry,69
kitchen table,69
instrument,69
coal,69
cave,69
wilderness,68
spot-welder,68
sandwich,68
rink,68
putty knife,68
piggy bank,68
guy,68
grassland,68
fingertip,68
crayon,68
chocolate,68
bolt,68
shell,67
scuba diver,67
picture,67
pasture,67
laundry,67
bow,67
barrel,67
anteroom,67
sail,66
pulley,66
pliers,66
peg,66
nature,66
missile,66
light bulb,66
hoe,66
hiker,66
chalk,66
bomb,66
bean,66
vase,65
shoelace,65
mirror,65
hurdle,65
hoof,65
garden hose,65
blackboard,65
waterfall,64
torch,64
tennis court,64
professor,64
none,64
mug,64
hairbrush,64
gravel,64
conservatory,64
wrestler,63
tiara,63
temple,63
shredder,63
show,63
owl,63
merchandise,63
machinery,63
cabinet,63
ax,63
watering can,62
steak,62
roadway,62
prisoner,62
metro,62
jungle,62
electronic device,62
beautician,62
toast,61
shotgun,61
punch,61
pumpkin,61
power tool,61
platform,61
passenger,61
hotdog,61
hoist,61
hillside,61
grape,61
girlfriend,61
belt,61
vine,60
top,60
tennis ball,60
target,60
reading,60
mound,60
memorial,60
bride,60
workbench,59
weed,59
soccer,59
sled,59
shark,59
rule,59
rose,59
onion,59
letter,59
killer whale,59
jump rope,59
greenhouse,59
grave,59
frame,59
curling iron,59
canvas,59
bread dough,59
backpack,59
alley,59
wooden spoon,58
waiter,58
undertaking,58
power drill,58
pickup,58
flour,58
elevator,58
dining table,58
boyfriend,58
arts and crafts,58
shingle,57
scalpel,57
pasta,57
parachutist,57
machinist,57
cookie sheet,57
collar,57
writing,56
supermarket,56
snowplow,56
rocking chair,56
powder,56
museum,56
jacket,56
inch,56
illness,56
dump truck,56
domestic ass,56
dance,56
butter knife,56
Crown,56
steel,55
square,55
property,55
plaster,55
piano,55
peeler,55
necktie,55
napkin,55
motorcyclist,55
kitchen sink,55
honey,55
float,55
envelope,55
elder,55
dip,55
carrot,55
beaker,55
yoga,54
word,54
window frame,54
tissue,54
straw,54
slide,54
skeleton,54
penguin,54
midair,54
juice,54
horse race,54
golfer,54
dummy,54
dolphin,54
chemical,54
chain saw,54
blade,54
banana,54
vaccine,53
tiller,53
shaver,53
pick,53
pea,53
model,53
lamp,53
hedge,53
gas tank,53
cartoon,53
tightening,52
spray,52
seal,52
lioness,52
gathering,52
fisherman,52
fire extinguisher,52
eyesight,52
elbow,52
butterfly,52
beehive,52
beard,52
spreader,51
pillow,51
photograph,51
performer,51
nipple,51
lemon,51
grove,51
deflector,51
cleansing agent,51
blood,51
batch,51
assault rifle,51
sphere,50
sound,50
shampoo,50
saw,50
ram,50
paint roller,50
musical instrument,50
measuring cup,50
hand blower,50
equipment,50
country,50
brewery,50
beverage,50
bark,50
baker,50
American flag,50
young,49
wheatfield,49
spray gun,49
roller,49
plug,49
knob,49
heat,49
gate,49
frost,49
frog,49
construction paper,49
clay,49
car door,49
candy,49
baseball glove,49
shed,48
lettuce,48
ladder,48
herb,48
headset,48
gull,48
gallery,48
exterior door,48
doll,48
bongo,48
baton,48
seashore,47
railroad track,47
poster,47
lizard,47
donkey,47
combine,47
club,47
celebration,47
cap,47
booklet,47
alcohol,47
air pump,47
strawberry,46
spinal column,46
sample,46
salt,46
railway,46
pin,46
height,46
goalkeeper,46
dissenter,46
corkscrew,46
construction,46
basement,46
aquarium,46
ant,46
punter,45
protest,45
mill,45
goose,45
cigar lighter,45
buckle,45
American bison,45
wall socket,44
thresher,44
livingroom suite,44
leader,44
jaw,44
horseman,44
grill,44
contract,44
charcoal,44
battery,44
bank,44
vaulter,43
trainer,43
thigh,43
site,43
panel,43
paddy,43
number,43
ladle,43
javelin,43
cocoa,43
chipmunk,43
cashier,43
beef,43
baptismal font,43
arrow,43
airfield,43
wings,42
toy,42
sewing needle,42
pepper,42
lecture room,42
leather,42
hilltop,42
highchair,42
hay bale,42
hairdresser,42
grater,42
golf club,42
gas,42
dentist,42
coral,42
cheerleader,42
boodle,42
beak,42
village,41
stable,41
present,41
polling place,41
plastic bag,41
ink,41
gift,41
footrace,41
epoxy,41
cougar,41
conveyer belt,41
campsite,41
boxing glove,41
antelope,41
water bottle,40
tricycle,40
stretcher,40
stone,40
scarf,40
pottery,40
picture frame,40
perspiration,40
ma,40
lipstick,40
lid,40
hospital bed,40
guard,40
friend,40
dinner,40
dessert,40
crib,40
businesswoman,40
buck,40
amusement park,40
Earth,40
turkey,39
tennis player,39
spice,39
sealant,39
red,39
pulse,39
pain,39
gym shoe,39
football team,39
flood,39
festival,39
farmer's market,39
education,39
cutter,39
circuit,39
carriage,39
camera angle,39
cafeteria,39
white man,38
watch,38
walking stick,38
shaving foam,38
scalp,38
performance,38
ice bear,38
framework,38
formula,38
form,38
eyelid,38
elk,38
drain,38
dolphinfish,38
clothing store,38
canister,38
bus stop,38
bay,38
ash,38
airstrip,38
aid,38
aged,38
wok,37
triangle,37
trampoline,37
switch,37
stump,37
stall,37
skateboard,37
putty,37
prawn,37
mosquito,37
measuring stick,37
luggage compartment,37
go-kart,37
entrance,37
disk,37
crown,37
camper,37
blood pressure,37
belonging,37
aerosol,37
White House,37
wineglass,36
whisk,36
stuffing,36
seaport,36
rake,36
planter,36
paste,36
operating room,36
marsh,36
liquor,36
land line,36
hip,36
hedge trimmer,36
groom,36
doorframe,36
desktop computer,36
dancing,36
corner,36
clamp,36
circuit board,36
cabaret,36
bodybuilder,36
bakery,36
wax,35
vote,35
tooth,35
sugar,35
recreational vehicle,35
power cord,35
poker,35
open-air market,35
nest,35
mast,35
janitor,35
garlic,35
eyebrow,35
enclosure,35
edge,35
drummer,35
drum sander,35
display,35
degree,35
cowboy,35
carnival,35
ankle,35
zebra,34
windshield,34
well,34
touch screen,34
tortilla,34
surgeon,34
sphygmomanometer,34
rugby,34
painter,34
operator,34
lap,34
lamb,34
hypodermic syringe,34
gymnast,34
french fries,34
fan,34
cub,34
bowling pin,34
bouquet,34
actress,34
Frisbee,34
workplace,33
tourist,33
starship,33
singing,33
rat,33
pouch,33
physical therapy,33
microscope,33
lounge,33
knot,33
heart,33
gauze,33
flagpole,33
feather,33
ember,33
dock,33
design,33
department store,33
criminal,33
cargo container,33
camel,33
cadaver,33
birthday,33
asphalt,33
air hammer,33
Dumpster,33
urinal,32
track meet,32
touch,32
tarpaulin,32
pruner,32
paramedic,32
organ,32
lakeside,32
hovel,32
horn,32
gurney,32
flower arrangement,32
event,32
dishwasher,32
curtain,32
coat,32
circumference,32
butcher knife,32
blueprint,32
windowpane,31
white woman,31
water buffalo,31
venue,31
turtle,31
tow truck,31
stop,31
spinning wheel,31
riverbank,31
rear,31
punching bag,31
pocket,31
pill,31
paper towel,31
meal,31
marketplace,31
mammal,31
jam,31
golf ball,31
gap,31
fluid,31
compact disk,31
clasp,31
case,31
carton,31
balcony,31
washbasin,30
temperature,30
teens,30
talk,30
spectator,30
socket,30
run,30
ridge,30
nostril,30
motor,30
motion-picture camera,30
jean,30
interview,30
information,30
hand glass,30
gear,30
crusher,30
crew,30
circle,30
carpenter,30
campfire,30
bunny,30
aroma,30
yacht,29
victory,29
steam,29
service,29
right,29
rancher,29
puzzle,29
pope,29
polish,29
plumbing,29
pitch,29
peanut,29
operation,29
movie,29
mixing bowl,29
megaphone,29
loaf of bread,29
lace,29
hoop,29
handshake,29
greens,29
goal,29
firewood,29
drygoods,29
cupcake,29
choir,29
buffet,29
boulder,29
bison,29
automaton,29
wrestling ring,28
weightlifter,28
violin,28
umbrella,28
technician,28
subway station,28
spear,28
snout,28
sitting,28
prison,28
pie,28
peach,28
pathway,28
passenger car,28
neighborhood,28
loom,28
llama,28
jewelry,28
iron,28
insecticide,28
homeless,28
grout,28
gold,28
front,28
foundation,28
foam,28
fishnet,28
ferry,28
farmland,28
drawer,28
cushion,28
cruiser,28
crab,28
cast,28
card table,28
camper trailer,28
bridal gown,28
bobcat,28
blue,28
bait,28
astronaut,28
wind,27
width,27
vessel,27
traffic,27
television,27
strip,27
stoop,27
stirrer,27
sausage,27
sapling,27
saliva,27
riding mower,27
refrigerator,27
ranch,27
public toilet,27
public square,27
power mower,27
noodle,27
mallet,27
magazine,27
legs,27
launcher,27
landscape,27
jail,27
impression,27
hotel,27
gravity,27
forearm,27
flatbed,27
detective,27
cruise ship,27
clip,27
champagne,27
canyon,27
booth,27
beaver,27
beast,27
barber,27
army,27
air cushion,27
windowsill,26
whetstone,26
vineyard,26
tunnel,26
teapot,26
stuff,26
spring,26
space shuttle,26
red carpet,26
puck,26
press conference,26
paddle,26
noise,26
kabob,26
gauge,26
explosion,26
exercise,26
doorknob,26
disk drive,26
dad,26
curb,26
cow pen,26
computer keyboard,26
cash machine,26
cab,26
bow and arrow,26
bottle opener,26
boot,26
bonfire,26
blazer,26
automatic rifle,26
armpit,26
wrestling mat,25
vegetation,25
treadmill,25
toe,25
speaker,25
siding,25
shopping cart,25
seller,25
rodent,25
quarterback,25
pop,25
play,25
pancake,25
nurse practitioner,25
mushroom,25
monk,25
left,25
hinge,25
grillroom,25
fit,25
figurine,25
coloring book,25
cereal,25
blue sky,25
barnyard,25
barbecue,25
award,25
watermelon,24
thermometer,24
telescope,24
teamster,24
teacup,24
syrup,24
strainer,24
scribble,24
plot,24
plier,24
otter,24
necklace,24
lobster,24
koala,24
hyena,24
hot-air balloon,24
ground,24
grandma,24
garbage heap,24
cylinder,24
competition,24
coffee cup,24
coffee bean,24
cigar,24
chute,24
check,24
butcher,24
bomber,24
basin,24
barge,24
badge,24
arena,24
aircraft carrier,24
air terminal,24
adhesive material,24
watchman,23
waitress,23
volume,23
submarine,23
storehouse,23
stool,23
squash,23
sprinter,23
sport,23
skirt,23
signal,23
sheet metal,23
sculptor,23
salmon,23
rail,23
police station,23
plywood,23
pheasant,23
oldster,23
nailfile,23
milking machine,23
material,23
martial art,23
jaguar,23
honeycomb,23
healthcare,23
funnel,23
end,23
clock,23
circular,23
breathing,23
atmosphere,23
artwork,23
White,23
wiring,22
wallboard,22
view,22
utensil,22
trimmer,22
sunlight,22
stairwell,22
spectacles,22
softball,22
rioter,22
rim,22
repair,22
pulp,22
pressure,22
pony,22
peak,22
pane,22
ocean floor,22
lecture,22
kid,22
karate,22
handkerchief,22
garment,22
fly,22
flesh,22
eyes,22
eyelash,22
excavator,22
energy,22
domestic cat,22
dolly,22
coyote,22
corncob,22
column,22
cargo area,22
burner,22
building complex,22
boy,22
bartender,22
barbershop,22
archer,22
applicator,22
applicant,22
QWERTY keyboard,22
Christmas bush,22
CPU board,22
volleyball player,21
volleyball court,21
test tube,21
tennis racket,21
tailor,21
swan,21
swamp,21
subway train,21
stranger,21
spaghetti,21
spade,21
shot,21
seawater,21
saucer,21
rubber,21
root,21
press,21
peanut butter,21
pea pod,21
pallet,21
orchestra,21
opening,21
mill-hand,21
meditation,21
mannequin,21
mammary gland,21
lunch,21
kitchen garden,21
kettle,21
kernel,21
insulating material,21
horseback,21
health,21
giraffe,21
front porch,21
fighter,21
drop,21
drill rig,21
cracker,21
cornfield,21
computer game,21
comforter,21
cognition,21
chart,21
celery,21
camp,21
cabbage,21
bun,21
beer bottle,21
bead,21
bald eagle,21
Christmas tree,21
wild boar,20
whistle,20
waterway,20
water pump,20
water hole,20
washer,20
vulture,20
varnish,20
sludge,20
sewing room,20
scene,20
rodeo,20
plastic wrap,20
paper money,20
optometrist,20
ocean trip,20
oarsman,20
muscle,20
mind,20
mathematics,20
mask,20
latch,20
jigsaw puzzle,20
interviewer,20
hands,20
gazelle,20
eyeliner,20
dump,20
drugstore,20
drill press,20
dove,20
dinner table,20
dial,20
dam,20
curler,20
connection,20
cone,20
computer monitor,20
compost,20
clearing,20
cherry,20
celebrity,20
bumper,20
buffer,20
bicycle race,20
battlefield,20
Styrofoam,20
victim,19
valve,19
tugboat,19
tightness,19
terrorist,19
tarmacadam,19
stack,19
sprinkler system,19
sponge cloth,19
sloth,19
short ribs,19
shopfront,19
shooting gallery,19
saunterer,19
rhinoceros,19
resort hotel,19
mustache,19
molding,19
miniature,19
military,19
measuring instrument,19
marathon,19
librarian,19
ledge,19
kangaroo,19
hobby,19
gummed label,19
guitarist,19
electronics,19
distance,19
direction,19
desktop,19
depository financial institution,19
convention,19
clown,19
chimpanzee,19
carcase,19
bullhorn,19
bill,19
barrier,19
banner,19
bamboo,19
ballot,19
avocado,19
antler,19
alumnus,19
Mass,19
work,18
uniform,18
turf,18
trouser,18
teddy,18
talon,18
stylus,18
star,18
standing,18
spray paint,18
ski,18
skate,18
shrimp,18
robber,18
rally,18
radio,18
plating,18
parrot,18
palette,18
office building,18
mixer,18
map,18
mailbox,18
jersey,18
hood,18
honeybee,18
hide,18
helmet,18
hammock,18
golfcart,18
giant panda,18
forceps,18
fishing line,18
fireplug,18
fat,18
farmhand,18
electricity,18
deep,18
control panel,18
coffin,18
cocoon,18
coconut,18
chocolate sauce,18
change,18
cane,18
canal,18
boardroom,18
bloomers,18
base metal,18
airdock,18
Indian,18
wrapping,17
wound,17
worsted,17
veteran,17
valley,17
trail bike,17
tower,17
toenail,17
stoker,17
sports fan,17
sniper rifle,17
slicer,17
skyscraper,17
ski resort,17
shelter,17
sewer,17
semiautomatic pistol,17
sailor,17
remote control,17
public,17
presenter,17
popcorn,17
plumber,17
plow horse,17
peel,17
padlock,17
opinion,17
note,17
mounter,17
maid,17
kennel,17
injection,17
ice water,17
holding pen,17
handlebar,17
hand drill,17
garbage truck,17
foreman,17
flavorer,17
flab,17
firework,17
fertilizer,17
dirt track,17
course,17
contribution,17
contact,17
chewing gum,17
bubble,17
brass,17
basis,17
apple tree,17
animal foot,17
alpaca,17
alligator,17
writer,16
worm,16
woodwork,16
terminal,16
surprise,16
supply,16
staff,16
soldering iron,16
ski run,16
sketch,16
sister,16
signboard,16
seafood,16
resort area,16
repair shop,16
pumpkin seed,16
pull,16
preteen,16
potato yellow-dwarf virus,16
port,16
plantation,16
physical rehabilitation,16
phial,16
palace,16
page,16
mob,16
matchbox,16
mascara,16
mail,16
magnifier,16
machine gun,16
lung,16
lollipop,16
locker room,16
kick,16
inner tube,16
ingredient,16
hosiery,16
graduation,16
geyser,16
flowerbed,16
flashlight,16
fishing boat,16
field house,16
feed,16
emery paper,16
egg yolk,16
dye,16
duckling,16
defendant,16
current,16
college student,16
climber,16
clam,16
citizenry,16
cinema,16
cinder block,16
cell,16
catch,16
carving,16
cabin,16
biscuit,16
basketball team,16
ballerina,16
attendant,16
air conditioner,16
throw,15
therapist,15
support,15
stylist,15
squeegee,15
speedboat,15
spackle,15
source,15
socket wrench,15
shear,15
sewing,15
riding,15
racehorse,15
proboscis,15
portrait,15
police matron,15
pharmacist,15
outboard motorboat,15
otoscope,15
obstacle race,15
mover,15
mattress,15
matchstick,15
masseuse,15
mango,15
livestock,15
item,15
interface,15
hurdles,15
host,15
hair dye,15
graph,15
gnu,15
flock,15
felt-tip pen,15
feedback,15
falcon,15
eyeshadow,15
explosive device,15
dugout,15
dropper,15
dressmaker,15
downhill,15
doughnut,15
cooking utensil,15
contestant,15
coating,15
care,15
captain,15
canal boat,15
bull's eye,15
botulinum toxin A,15
boardwalk,15
blind,15
blender,15
area,15
ape,15
aim,15
Santa Claus,15
Bush,15
wreath,14
worktable,14
water heater,14
voltmeter,14
voltage,14
volleyball,14
upholstery,14
trimming,14
time,14
tension,14
teller,14
television program,14
tap wrench,14
sweater,14
sugarcane,14
staple,14
size,14
seedling,14
scenery,14
saucepan,14
rumpus room,14
project,14
potter,14
perfume,14
pelvis,14
parsley,14
nowhere,14
motor oil,14
mineshaft,14
lion cub,14
lesson,14
lemur,14
insignia,14
housewife,14
hot tub,14
green,14
grease,14
giant,14
fuel,14
fang,14
fair,14
evidence,14
dust,14
duct tape,14
dryer,14
dress shirt,14
doorlock,14
dollar,14
ditch,14
diner,14
digger,14
depth,14
cucumber,14
crocodile,14
countryside,14
cooler,14
computer screen,14
comfort,14
cobble,14
clean room,14
chimney,14
campus,14
calculator,14
brassiere,14
boss,14
binder,14
belly,14
banquet,14
bannister,14
auto part,14
alignment,14
acting,14
Oval Office,14
wrestling match,13
winery,13
weeder,13
voting booth,13
vicinity,13
vegetable oil,13
university,13
underwear,13
tuner,13
trough,13
ticket,13
television reporter,13
tear,13
stretch,13
sprout,13
snail,13
slot machine,13
skateboarder,13
sickle,13
shotgun shell,13
sheath,13
shaker,13
school bus,13
sadness,13
receiver,13
rapper,13
purple,13
provision,13
production line,13
prairie,13
pink,13
pigeon,13
piece,13
petal,13
personal computer,13
pepper spray,13
paper plate,13
notepad,13
mulch,13
mosque,13
minivan,13
mercantile establishment,13
measurement,13
mascot,13
marksman,13
mark,13
lifting device,13
lapel,13
lantern,13
lancet,13
knit,13
judge,13
hummingbird,13
hotel room,13
guest,13
grid,13
grate,13
gorilla,13
golf,13
flower garden,13
filling,13
fictional character,13
environment,13
engineer,13
electric refrigerator,13
dustmop,13
dog food,13
doe,13
data,13
cymbal,13
cover,13
constriction,13
compound,13
color,13
cloth covering,13
cheeseburger,13
cargo ship,13
car window,13
cactus,13
brown,13
bricks and mortar,13
bracelet,13
black,13
bell pepper,13
beads,13
barbecued spareribs,13
baby doctor,13
appliance,13
angle,13
aircraft,13
Savannah,13
Jesus,13
India,13
Black,13
whipped cream,12
wallet,12
volunteer,12
tundra,12
tortilla chip,12
toothpick,12
tomato sauce,12
toilet tissue,12
swimming,12
sweet pepper,12
sunflower,12
streetcar,12
stamp,12
sporting man,12
solder,12
soda can,12
sock,12
sleeve,12
rapid,12
public house,12
populace,12
plan,12
place,12
pie crust,12
packet,12
orange juice,12
oar,12
nun,12
mule,12
mobile home,12
merchant,12
medical instrument,12
manta,12
machete,12
loudspeaker,12
loofa,12
loft,12
journalist,12
ingot,12
icepick,12
holder,12
hippopotamus,12
ham,12
glitter,12
furnace,12
foundry,12
food processor,12
florist,12
floater,12
fire engine,12
eyeball,12
dumpling,12
drone,12
display panel,12
dart,12
dairy,12
courthouse,12
concern,12
coal mine,12
clergyman,12
chiropractor,12
chili,12
chick,12
chest of drawers,12
caterpillar,12
caribou,12
carafe,12
call,12
businessmen,12
buoy,12
broadcasting studio,12
breakfast,12
bracket,12
bleachers,12
bell,12
battleship,12
baseboard,12
ballpark,12
bacon,12
audio,12
assembly hall,12
apparatus,12
apartment,12
ambulance,12
Sharpie,12
Rollerblade,12
Africa,12
zucchini,11
yellow,11
yak,11
wrapping paper,11
wrap,11
workman,11
water jug,11
tug-of-war,11
trophy,11
torque wrench,11
tornado,11
tobacco,11
tag,11
taco,11
stripper,11
straight razor,11
spacecraft,11
solar array,11
soapsuds,11
smile,11
slot,11
silicone,11
shrubbery,11
showroom,11
showerhead,11
shot glass,11
sea lion,11
scythe,11
scatter rug,11
sap,11
saltshaker,11
rubber band,11
rub,11
roulette,11
rolling pin,11
roller skate,11
recital,11
radio receiver,11
raccoon,11
quilt,11
private,11
presentation,11
pollen,11
playing card,11
pitchfork,11
pineapple,11
phonograph record,11
penny,11
pennant,11
pelican,11
pebble,11
pear,11
paperboard,11
olive oil,11
mural,11
mucus,11
mountainside,11
mountain bike,11
motor scooter,11
moss,11
minibike,11
memory chip,11
mane,11
lacrosse player,11
